投苗日期,组织单元,品种,饲养组合,投苗数量
2025-07-01,安远,xsx3,公,11137
2025-07-01,常州,cmt1,母,15900
2025-07-01,常州,gw5,混,1680
2025-07-01,常州,hsx2,母,9960
2025-07-01,常州,hsx2,公,9960
2025-07-01,常州,my3,母,5015
2025-07-01,常州,my3,公,5015
2025-07-01,常州,uhsh4,母,18480
2025-07-01,常州,uhsh4,公,18480
2025-07-01,常州,ymt2,母,6760
2025-07-01,常州,ymt2,公,6760
2025-07-01,重庆,uhsh4,公,15840
2025-07-01,重庆,yh2A,公,9720
2025-07-01,阜阳,ay2,公,10465
2025-07-01,阜阳,csx5,公,16020
2025-07-01,阜阳,ehy5,公,9200
2025-07-01,阜阳,msx2,公,8775
2025-07-01,阜阳,my3,公,12490
2025-07-01,合肥,ehshZ4,公,10080
2025-07-01,河源,ay2,母,16840
2025-07-01,河源,msx2+,母,12000
2025-07-01,惠州,ay2,母,16678
2025-07-01,惠州,hsx2,母,12938
2025-07-01,惠州,uhsh2,母,12700
2025-07-01,嘉兴,csx4,母,9920
2025-07-01,昆明,mjq5A,母,5620
2025-07-01,昆明,mjq5A,公,9511
2025-07-01,昆明,yh3A,母,10745
2025-07-01,洛阳,csx5,公,9520
2025-07-01,洛阳,hl4,母,9500
2025-07-01,洛阳,hl4,公,9520
2025-07-01,洛阳,hm3A,公,9615
2025-07-01,南雄,ay2,母,8950
2025-07-01,南雄,csx5,母,10240
2025-07-01,南雄,ehshZ4,母,16000
2025-07-01,南雄,uhmt2A,公,13535
2025-07-01,南雄,yh2A,母,10380
2025-07-01,平顶山,mjh5,公,8852
2025-07-01,平顶山,mjqZ5,公,8745
2025-07-01,韶关,ehshZ4,母,6950
2025-07-01,韶关,yh2A,母,11000
2025-07-01,泰安,csx5,公,14060
2025-07-01,台州,ay2,公,8945
2025-07-01,台州,csx5,公,2960
2025-07-01,台州,hl4,母,4990
2025-07-01,台州,hsx2,公,7250
2025-07-01,台州,my3,母,8205
2025-07-01,台州,uhmt2,公,8250
2025-07-01,台州,uhy5B,公,10520
2025-07-01,潍坊,csx5,公,23824
2025-07-01,潍坊,ehshZ4,公,6970
2025-07-01,潍坊,gw5,混,8160
2025-07-01,潍坊,yh3A,公,11160
2025-07-01,湘潭,yh2A,母,9625
2025-07-01,徐州,csx5,公,10065
2025-07-01,徐州,my3,公,9225
2025-07-02,安顺,ay2,母,14632
2025-07-02,安远,csx4,母,7700
2025-07-02,安远,csx5,母,15955
2025-07-02,安远,gw5,混,10180
2025-07-02,安远,uhmt2A,公,16760
2025-07-02,常州,csx5,母,12305
2025-07-02,常州,csx5,公,12305
2025-07-02,常州,gw5,混,9360
2025-07-02,常州,msx2,母,4520
2025-07-02,常州,msx2,公,4520
2025-07-02,常州,uhmt2,母,2600
2025-07-02,常州,uhmt2,公,2600
2025-07-02,常州,uhsh4,母,8480
2025-07-02,常州,uhsh4,公,8480
2025-07-02,重庆,uhsh4,公,8185
2025-07-02,阜阳,gmt2,公,7404
2025-07-02,阜阳,gmt2A,公,9325
2025-07-02,阜阳,gw5,混,11040
2025-07-02,阜阳,hm3A,公,13500
2025-07-02,阜阳,msx2,公,10828
2025-07-02,阜阳,my3,公,9700
2025-07-02,河源,ay2,母,11962
2025-07-02,河源,hm3A,母,9930
2025-07-02,惠州,ehsh4,母,16795
2025-07-02,惠州,gw5,混,13400
2025-07-02,惠州,uhy5B,母,17858
2025-07-02,洛阳,ehshZ4,公,11050
2025-07-02,洛阳,hl4,公,13118
2025-07-02,南雄,csx5,母,13480
2025-07-02,南雄,uhmt2A,公,15720
2025-07-02,南阳,ehmt3A,公,11050
2025-07-02,韶关,ay3,母,7230
2025-07-02,韶关,csx5,母,9386
2025-07-02,韶关,gmt2,母,14952
2025-07-02,泰安,csx5,公,20870
2025-07-02,泰安,gmt2,公,9790
2025-07-02,台州,csx5,公,13650
2025-07-02,台州,gw5,混,12980
2025-07-02,台州,hsx2,公,8700
2025-07-02,台州,yh3A,公,10735
2025-07-02,潍坊,ay2,公,11775
2025-07-02,潍坊,ehy4,公,11005
2025-07-02,潍坊,mjqZ5,公,10134
2025-07-02,潍坊,uhsh4,公,27704
2025-07-02,湘潭,gmt2,母,16098
2025-07-02,徐州,csx5,公,12510
2025-07-02,扬州,csx5,公,9956
2025-07-02,自贡,cmt1,母,12470
2025-07-03,安庆,csx5,母,12800
2025-07-03,安远,ay2,母,14464
2025-07-03,安远,ehshZ4,母,15452
2025-07-03,安远,gmt2A,母,15347
2025-07-03,安远,hm5A,母,9333
2025-07-03,安远,hsx2,公,9838
2025-07-03,安远,uhmt2A,母,13420
2025-07-03,安远,uhmt2A,公,13860
2025-07-03,安远,uhsh4,母,11045
2025-07-03,常州,ay2,母,11085
2025-07-03,常州,ay2,公,11085
2025-07-03,常州,cmt1,母,7780
2025-07-03,常州,csx5,母,13500
2025-07-03,常州,csx5,公,13500
2025-07-03,常州,gw5,混,510
2025-07-03,常州,mjqZ5,母,13190
2025-07-03,常州,mjqZ5,公,13190
2025-07-03,常州,msx2,母,4355
2025-07-03,常州,msx2,公,4355
2025-07-03,常州,uhmt2,母,4200
2025-07-03,常州,uhmt2,公,4200
2025-07-03,常州,uhsh4,母,6680
2025-07-03,常州,uhsh4,公,6680
2025-07-03,常州,uhy5B,母,6750
2025-07-03,常州,uhy5B,公,6750
2025-07-03,阜阳,ay2,公,10115
2025-07-03,阜阳,csx5,公,15170
2025-07-03,阜阳,ehsh4,公,9720
2025-07-03,阜阳,gw5,混,9880
2025-07-03,阜阳,hl4,公,8430
2025-07-03,阜阳,my3,公,10000
2025-07-03,合肥,bx4A,混,28500
2025-07-03,河源,hm3A,母,9950
2025-07-03,惠州,csx5,母,11070
2025-07-03,惠州,gw5,混,5670
2025-07-03,惠州,hm3A,母,13500
2025-07-03,惠州,hsx2,母,9940
2025-07-03,惠州,yh2A,母,3295
2025-07-03,嘉兴,ehy5,母,11792
2025-07-03,昆明,hm3A,公,10010
2025-07-03,洛阳,ay2,公,13280
2025-07-03,洛阳,csx5,公,10210
2025-07-03,洛阳,ehshZ4,公,18525
2025-07-03,南雄,ay2,母,11040
2025-07-03,南雄,ehshZ4,母,11571
2025-07-03,南雄,ehshZ4,公,11412
2025-07-03,南雄,uhmt2A,母,8100
2025-07-03,南阳,csx4,公,11255
2025-07-03,南阳,uhmt2A,公,8100
2025-07-03,平顶山,ehsh4,公,7362
2025-07-03,平顶山,uhy5B,公,18170
2025-07-03,韶关,csx5,母,27398
