出发地,到达地,运输距离,运输时长
常州,嘉兴,267,5
常州,合肥,280,5
常州,徐州,471,8
常州,阜阳,471,8
常州,泰安,713,12
常州,洛阳,836,14
常州,扬州,167,3
常州,潍坊,610,11
常州,安庆,459,8
常州,自贡,1705,29
常州,湘潭,1042,18
常州,安顺,1794,30
常州,河源,1220,21
常州,柳州,1601,27
常州,韶关,1220,21
常州,南阳,642,11
常州,台州,444,8
常州,安远,1022,17
常州,南雄,1114,19
常州,昆明,2132,36
常州,梧州,1640,28
常州,重庆,1385,24
常州,平顶山,773,13
嘉兴,合肥,508,9
嘉兴,徐州,643,11
嘉兴,阜阳,708,12
嘉兴,泰安,927,16
嘉兴,洛阳,1068,18
嘉兴,扬州,357,6
嘉兴,潍坊,819,14
嘉兴,安庆,557,10
嘉兴,自贡,1896,32
嘉兴,湘潭,962,17
嘉兴,安顺,1811,31
嘉兴,河源,1117,19
嘉兴,柳州,1568,27
嘉兴,韶关,1158,20
嘉兴,南阳,848,15
嘉兴,台州,236,4
嘉兴,安远,927,16
嘉兴,南雄,1023,18
嘉兴,昆明,2230,38
嘉兴,梧州,1552,26
嘉兴,重庆,1540,26
嘉兴,平顶山,978,17
合肥,徐州,357,6
合肥,阜阳,178,3
合肥,泰安,532,9
合肥,洛阳,588,10
合肥,扬州,316,6
合肥,潍坊,624,11
合肥,安庆,289,5
合肥,自贡,1468,25
合肥,湘潭,820,14
合肥,安顺,1577,27
合肥,河源,1089,19
合肥,柳州,1405,24
合肥,韶关,1091,19
合肥,南阳,417,7
合肥,台州,677,12
合肥,安远,936,16
合肥,南雄,978,17
合肥,昆明,1907,32
合肥,梧州,1501,25
合肥,重庆,1186,20
合肥,平顶山,543,9
徐州,阜阳,369,7
徐州,泰安,386,7
徐州,洛阳,585,10
徐州,扬州,321,6
徐州,潍坊,310,6
徐州,安庆,634,11
徐州,自贡,1727,29
徐州,湘潭,1183,20
徐州,安顺,1890,32
徐州,河源,1427,24
徐州,柳州,1744,30
徐州,韶关,1430,24
徐州,南阳,614,11
徐州,台州,820,14
徐州,安远,1284,22
徐州,南雄,1323,23
徐州,昆明,2229,38
徐州,梧州,1934,33
徐州,重庆,1444,25
